age,norm_epa
5,1518.0
5,1446.0
0,1411.0
0,1436.0
1,1476.0
9,1524.0
4,1726.0
12,1458.0
7,1578.0
10,1407.0
2,1460.0
1,1348.0
1,1506.0
13,1507.0
0,1448.0
13,1620.0
7,1394.0
15,1498.0
17,1538.0
13,1496.0
15,1606.0
16,1657.0
7,1507.0
6,1470.0
14,1520.0
12,1522.0
11,1500.0
8,1455.0
6,1429.0
8,1538.0
0,1388.0
6,1419.0
13,1387.0
5,1493.0
0,1392.0
12,1452.0
10,1420.0
0,1462.0
2,1336.0
12,1623.0
5,1448.0
5,1475.0
17,1504.0
5,1424.0
0,1420.0
18,1749.0
1,1380.0
0,1495.0
19,1523.0
12,1545.0
10,1582.0
11,1448.0
8,1436.0
0,1549.0
12,1416.0
1,1665.0
6,1475.0
11,1602.0
18,1528.0
0,1540.0
16,1452.0
4,1539.0
7,1551.0
14,1410.0
0,1455.0
14,1512.0
3,1469.0
17,1530.0
0,1394.0
8,1461.0
3,1649.0
16,1531.0
0,1418.0
13,1387.0
7,1477.0
5,1385.0
17,1458.0
0,1439.0
10,1570.0
18,1466.0
7,1502.0
2,1431.0
19,1575.0
10,1679.0
1,1533.0
19,1487.0
4,1419.0
10,1516.0
15,1577.0
12,1619.0
19,1683.0
11,1491.0
15,1445.0
11,1735.0
11,1477.0
18,1674.0
11,1452.0
15,1621.0
17,1471.0
19,1898.0
